transect,cam,transect_cam,mission,n_distance_annotations,reference_dir,n_reference_clips,status,note
103,8,103_cam008,M2,88,videos/reference/mission_2_phase_3_pss/EQUIPE_2/Vidéos_Ref/T_103/T103_Cam08,6,found,
103,35,103_cam035,M2,141,videos/reference/mission_2_phase_3_pss/EQUIPE_2/Vidéos_Ref/T_103/T103_Cam35,2,found,
104,17,104_cam017,M2,115,videos/reference/mission_2_phase_3_pss/EQUIPE_2/Vidéos_Ref/T_104/T104_Cam17,2,found,
109,127,109_cam127,M1,91,videos/reference/mission_1_phase_3_pss/E_II/VIDEO_DE_REFERENCE/T_109/Cam127,2,found,
110,10,110_cam010,M1,415,videos/reference/mission_1_phase_3_pss/E_II/VIDEO_DE_REFERENCE/T_110/Cam010,2,found,
111,24,111_cam024,M2,23,videos/reference/mission_2_phase_3_pss/EQUIPE_2/Vidéos_Ref/T_111/T111_Cam24,2,found,
112,46,112_cam046,M2,56,videos/reference/mission_2_phase_3_pss/EQUIPE_2/Vidéos_Ref/T_112/T112_Cam46,2,found,
113,7,113_cam007,M2,38,videos/reference/mission_2_phase_3_pss/EQUIPE_2/Vidéos_Ref/T_113/T113_Cam07,2,found,
113,45,113_cam045,M2,155,videos/reference/mission_2_phase_3_pss/EQUIPE_2/Vidéos_Ref/T_113/T113_Cam45,2,found,
120,19,120_cam019,M1,43,videos/reference/mission_1_phase_3_pss/E_IV/Video_Reference/T_120/120_Cam_019,3,found,
121,83,121_cam083,M1,88,videos/reference/mission_1_phase_3_pss/E_II/VIDEO_DE_REFERENCE/T_121/Cam083,2,found,
122,71,122_cam071,M2,119,videos/reference/mission_2_phase_3_pss/EQUIPE_3/Transect_Kouloundala/Transect_-Reff/T122/Cam-071,3,found,
122,148,122_cam148,M2,152,videos/reference/mission_2_phase_3_pss/EQUIPE_3/Transect_Kouloundala/Transect_-Reff/T122/Cam-128,3,relabelled,folder cam label typo: T122 only had cam148 (InfoCT); cam128 was on T140 which has its own ref folder
123,49,123_cam049,M2,57,videos/reference/mission_2_phase_3_pss/EQUIPE_3/Transect_Kouloundala/Transect_-Reff/T123/Cam-049,3,found,
124,43,124_cam043,M2,662,videos/reference/mission_2_phase_3_pss/EQUIPE_3/Transect_Kouloundala/Transect_-Reff/T124/Cam-043,3,found,
124,106,124_cam106,M2,221,videos/reference/mission_2_phase_3_pss/EQUIPE_3/Transect_Kouloundala/Transect_-Reff/T124/Cam-106,3,found,
135,25,135_cam025,M1,459,videos/reference/mission_1_phase_3_pss/E_II/VIDEO_DE_REFERENCE/T_135/Cam025,3,found,
135,50,135_cam050,M1,203,videos/reference/mission_1_phase_3_pss/E_II/VIDEO_DE_REFERENCE/T_135/Cam050,2,found,
136,12,136_cam012,M1,138,videos/reference/mission_1_phase_3_pss/E_II/VIDEO_DE_REFERENCE/T_136/Cam012,2,found,
